idle,30736,1,1,2.21,3924,1514,362,444,254,92,266,194,53,65,192,148,115,111,43,26,53
idle,30736,1,2,4.01,4271,1946,432,226,103,141,115,51,46,65,48,14,30,45,25,14,27
idle,30736,1,3,3.35,4683,2037,204,45,213,160,87,161,66,108,64,77,43,68,49,68,53
idle,30736,1,4,3.25,3044,1450,135,25,123,63,24,30,50,21,8,6,3,1,7,11,22
idle,30736,1,5,3.63,3869,1643,509,495,518,555,268,385,275,140,69,41,53,58,70,48,56
idle,30736,2,0,9.47,2046,721,306,67,73,185,262,104,58,38,104,140,277,156,44,91,78
idle,30736,2,1,6.62,3751,1730,130,176,495,330,88,229,529,498,199,342,291,43,45,26,74
idle,30736,2,2,2.82,5528,2603,189,236,245,155,105,117,117,76,78,95,66,34,48,50,39
idle,30736,2,3,3.19,316,136,24,11,13,11,8,9,6,4,3,1,2,3,2,2,3
idle,30736,2,4,6.26,3600,1560,308,147,147,152,130,143,183,134,131,113,60,31,29,3,5
idle,30736,2,5,3.30,3902,1652,193,57,453,275,68,226,329,194,155,115,45,91,339,283,101
arch2,32464,0,0,2.60,4574,1869,188,1199,949,104,574,883,329,219,331,165,54,60,23,17,13
arch2,32464,0,1,2.49,3477,1426,205,937,558,42,439,622,107,167,283,171,111,84,68,16,35
arch2,32464,0,2,3.20,486,235,98,84,86,84,73,64,60,52,42,34,29,21,13,7,4
arch2,32464,0,3,3.18,105,26,11,15,20,16,11,14,14,10,11,12,11,9,10,10,7
arch2,32464,0,4,6.35,1835,799,146,52,102,147,104,99,156,111,79,37,58,136,131,154,16
arch2,32464,0,5,11.73,1381,685,412,313,76,121,76,48,19,20,89,32,102,130,130,231,74
arch2,32464,1,0,3.71,5074,2147,101,18,169,211,55,102,130,97,93,33,24,23,54,80,8
arch2,32464,1,1,5.08,4126,1852,48,300,315,37,358,341,82,77,213,126,6,121,74,19,51
arch2,32464,1,2,4.05,4292,1817,200,98,62,101,79,25,29,49,38,7,21,34,25,14,20
arch2,32464,1,3,4.59,5169,2236,69,46,31,30,43,15,19,35,20,10,22,26,20,3,18
arch2,32464,1,4,2.93,2635,1127,42,72,92,20,36,19,8,18,4,19,21,15,9,11,5
arch2,32464,1,5,3.92,3723,1676,567,520,205,505,172,245,229,59,147,40,75,13,58,43,11
arch2,32464,2,0,7.42,1914,638,476,273,194,131,89,105,55,267,251,76,225,113,62,32,178
arch2,32464,2,1,3.28,3694,1479,249,167,686,426,98,110,323,166,69,366,343,48,19,33,47
arch2,32464,2,2,3.26,4589,1874,136,224,603,386,66,114,400,229,52,36,158,65,25,24,67
arch2,32464,2,3,9.72,278,115,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
arch2,32464,2,4,2.31,3314,1575,313,412,280,69,87,216,146,72,160,137,17,14,32,68,51
arch2,32464,2,5,3.16,3764,1697,120,295,668,307,155,113,158,69,173,200,129,175,285,122,49
arch2,33361,0,0,2.50,4808,1966,431,1190,832,193,521,783,263,100,271,160,58,27,51,60,38
arch2,33361,0,1,2.54,3713,1563,349,935,711,85,612,734,124,157,292,187,84,62,89,80,33
arch2,33361,0,2,6.00,368,155,11,7,4,4,3,2,2,1,2,1,1,1,1,1,1
arch2,33361,0,3,34.41,278,114,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1
arch2,33361,0,4,1.20,1990,676,681,422,183,97,64,86,76,38,29,74,89,182,118,321,182
arch2,33361,0,5,2.03,1409,605,446,475,123,18,60,77,86,97,70,22,75,64,121,234,69
arch2,33361,1,0,3.91,4980,2191,15,84,228,360,206,92,61,31,67,116,64,45,7,61,49
arch2,33361,1,1,3.49,3997,1657,236,286,336,332,301,177,81,158,118,51,58,17,18,36,17
arch2,33361,1,2,5.14,4057,1799,57,40,40,26,31,31,25,26,31,23,15,24,20,14,20
arch2,33361,1,3,2.52,5056,2221,10,76,48,72,31,42,18,21,15,7,8,7,8,16,10
arch2,33361,1,4,3.34,2514,940,208,33,160,116,57,43,60,14,16,13,14,17,27,14,21
arch2,33361,1,5,3.92,3602,1433,538,445,274,480,251,210,48,25,30,53,21,64,39,55,52
arch2,33361,2,0,3.76,2425,1255,157,116,253,286,197,74,130,94,100,252,261,30,27,83,227
arch2,33361,2,1,9.16,3359,1435,252,332,396,259,170,252,158,200,134,466,529,97,91,50,99
arch2,33361,2,2,3.12,5494,2440,70,353,524,320,165,152,235,83,105,59,147,100,35,66,158
arch2,33361,2,3,3.24,283,118,8,2,6,3,4,4,3,4,3,3,4,2,4,2,3
arch2,33361,2,4,6.83,3295,1280,151,172,90,114,139,185,246,255,212,191,94,92,41,18,10
arch2,33361,2,5,3.22,4194,2008,220,103,339,174,101,200,214,62,89,53,89,157,251,174,83
